image;row_idx;row_ratio;text;label
X51005441401.jpg;7;0.333;BIZDATE: 12/03/2018;0
X51007339146.jpg;24;0.727;SR @ 6% 15.57 0.93;0
X51005301667.jpg;7;0.13;CREDIT NOTE;0
X51005745187.jpg;13;0.481;3557366100208 •- 21.20 2120 SR;0
X51006388044.jpg;5;0.263;400002 1.00 X 21.32 21.32;0
X51008123476.jpg;0;0.0;Dion Realties Sdn Bhd (Ca. No:20154-T);0
X51008030566.jpg;13;0.481;1 x 2.20 2.20 SR;0
X51007846357.jpg;25;0.385;1x 7.80;0
X51005742068.jpg;12;0.75;PPF P1 1.000 6 6.00;0
X51006912972.jpg;43;0.662;0.46;0
X51005711403.jpg;16;0.64;Take Away;0
X51007339095.jpg;3;0.097;Mobile /Whatsapps : +6012-918 7937.;0
X51008114217.jpg;1;0.034;(CO Reg : 750441-W);0
X51005719914.jpg;22;0.512;9002148 3 X 4.50 13.50;0
X51007339658.jpg;3;0.083;ENTERPRISE TSETIA;0
X51007339648.jpg;2;0.059;ALAM) SDN 'BHO;0
X51007339152.jpg;3;0.103;Mobile /Whatsapps : +6012-918 7937;0
X51006555806.jpg;16;0.485;WHOLEMEAL 2.78 5 0 0 5 13.90;1
X51005361900.jpg;15;0.469;- G SOFT 6ML QUICK DRY CORRECTION PEN;1
X51005806678.jpg;1;0.034;L4-17 (B), Level 4,;0
X51006557178.jpg;27;0.844;The recipient of Gardenia's products is;0
X51008123447.jpg;0;0.0;Dion Realties Sdn Bhd (Co. No:20154-T);0
X51005568914.jpg;14;0.56;2 pc @ 4.90 9.80 SRM;0
X51006557188.jpg;30;0.882;required to make necessary adjustments to its;0
X51006557508.jpg;0;0.0;GARDENIA BAKERIES (KL) SDN BHD (139386 X);0
X51006414431.jpg;29;0.453;Payment Mode;0
X51005757353.jpg;17;0.63;(tem(s) : 3 Qty(s) : 3;0
X51008164997.jpg;3;0.091;43800 DENGKIL, SELANGOR.;0
X51005676549.jpg;1;0.033;(81109-A);0
X00016469612.jpg;8;0.308;Date : 25/12/2018 8:13:39 PM;0
X51006414713.jpg;2;0.024;YHM Aeon Tebrau City;0
X51005806702.jpg;22;0.957;SR @ 6% 12.74 0.76;0
X51007339146.jpg;7;0.212;Owned By:;0
X51006557195.jpg;19;0.543;CR-CORN 0.72 20 0 0 20 14.40;1
