image,row_idx,row_ratio,type,text
X00016469612.jpg,0,0.0,header,tan woon yann
X00016469612.jpg,1,0.038,header,BOOK TA.K (TAMAN DAYA) SDN BHD
X00016469612.jpg,2,0.077,header,789417-W
X00016469612.jpg,3,0.115,header,"NO.5: 55,57 & 59, JALAN SAGU 18,"
X00016469612.jpg,4,0.154,header,"TAMAN DAYA,"
X00016469612.jpg,5,0.192,header,"81100 JOHOR BAHRU,"
X00016469612.jpg,6,0.231,header,JOHOR.
X00016469612.jpg,7,0.269,header,Document No :TD01167104
X00016469612.jpg,8,0.308,header,Date : 25/12/2018 8:13:39 PM
X00016469612.jpg,9,0.346,summary,Cashier: MANIS
X00016469612.jpg,10,0.385,header,Member:
X00016469612.jpg,11,0.423,summary,CASH BILL
X00016469612.jpg,12,0.462,header,CODE/DESC PRICE Disc AMOUNT
X00016469612.jpg,13,0.5,header,QTY RM RM
X00016469612.jpg,14,0.538,header,9556939040118 KF MODELLING CLAY KIDDY FISH
X00016469612.jpg,15,0.577,item,1 PC * 9.000 0.00 9.00
X00016469612.jpg,16,0.615,summary,Total : 9.00
X00016469612.jpg,17,0.654,item,Rour ding Adjustment: 0.00
X00016469612.jpg,18,0.692,summary,Round d Total (RM): 9.00
X00016469612.jpg,19,0.731,summary,Cash 10.00
X00016469612.jpg,20,0.769,summary,CHANGE
X00016469612.jpg,21,0.808,header,GOODS SOLD ARE NOT RETURNABLE OR
X00016469612.jpg,22,0.846,summary,EXCHANGEABLE
X00016469612.jpg,23,0.885,header,9 atrl AMBabatein
X00016469612.jpg,24,0.923,header,"onAT1P, 6IAPIRC NIWI"
X00016469612.jpg,25,0.962,footer,THANK YOU
X00016469612.jpg,26,1.0,header,PLEASE COM'E AGAIN !
X00016469619.jpg,0,0.0,header,tan woon yann
X00016469619.jpg,1,0.04,header,IndaH gift & Home DeCo
X00016469619.jpg,2,0.08,header,"27,JALAN DEDAP 13,"
X00016469619.jpg,3,0.12,header,"TAMAN JoHOrR JAYA,"
X00016469619.jpg,4,0.16,header,"81100 JOhoR BahRU, JOhOr."
X00016469619.jpg,5,0.2,header,Tel:07-3507405 Fax:07-3558160
X00016469619.jpg,6,0.24,header,RECEIPT
X00016469619.jpg,7,0.28,header,19/10/2018 20:49:59 #01
X00016469619.jpg,8,0.32,summary,Cashier: CN Location/SP: 05 /0531
